date	ouv	haut	bas	clot	vol	devise	
16/01/2025 00:00	184.003	211.226	192.794	203.663	208827	EUR	
17/01/2025 00:00	184.003	215.704	203.601	213.062	181572	EUR	
20/01/2025 00:00	245.745	264.835	223.172	240.071	479313	EUR	
21/01/2025 00:00	245.745	249.423	221.964	240.486	199721	EUR	
22/01/2025 00:00	245.745	260.904	238.757	250.27	226848	EUR	
23/01/2025 00:00	245.745	248.196	232.766	241.271	204829	EUR	
24/01/2025 00:00	245.745	257.732	237.041	242.829	189659	EUR	
27/01/2025 00:00	244.332	231.778	210.586	224.525	365064	EUR	
28/01/2025 00:00	244.332	233.722	215.752	217.774	168671	EUR	
29/01/2025 00:00	244.332	228.684	214.111	222.437	170217	EUR	
30/01/2025 00:00	218.765	234.303	217.644	231.073	150042	EUR	
31/01/2025 00:00	229.215	232.787	220.302	222.937	134078	EUR	
03/02/2025 00:00	198.601	211.891	174.081	210.763	459475	EUR	
04/02/2025 00:00	198.601	213.447	195.342	197.62	213465	EUR	
05/02/2025 00:00	198.601	201.795	188.176	188.642	159013	EUR	
06/02/2025 00:00	198.601	196.389	181.665	184.07	170174	EUR	
07/02/2025 00:00	198.601	195.971	182.318	183.772	177319	EUR	
10/02/2025 00:00	193.42	202.629	190.303	193.792	125492	EUR	
11/02/2025 00:00	193.42	200.045	188.432	190.365	130281	EUR	
12/02/2025 00:00	193.42	191.68	182.473	189.577	143016	EUR	
13/02/2025 00:00	193.42	190.414	182.074	185.722	113441	EUR	
14/02/2025 00:00	193.42	195.475	185.698	189.444	133492	EUR	
17/02/2025 00:00	185.6	180.689	166.834	170.907	245173	EUR	
18/02/2025 00:00	185.6	171.045	154.027	160.437	354001	EUR	
19/02/2025 00:00	185.6	167.108	156.764	161.037	212227	EUR	
20/02/2025 00:00	161.963	168.992	160.785	165.919	159257	EUR	
21/02/2025 00:00	161.963	172.437	159.849	161.454	183322	EUR	
24/02/2025 00:00	160.328	161.762	136.331	136.383	389998	EUR	
25/02/2025 00:00	160.328	139.827	126.068	138.02	583725	EUR	
26/02/2025 00:00	160.328	138.058	124.434	129.451	307543	EUR	
27/02/2025 00:00	128.811	136.286	128.676	132.326	203123	EUR	
28/02/2025 00:00	128.811	142.816	120.789	141.638	439586	EUR	
03/03/2025 00:00	138.635	140.697	137.233	171.854	646739	EUR	
04/03/2025 00:00	135.543	138.328	124.396	135.392	390228	EUR	
05/03/2025 00:00	135.543	140.06	130.404	135.716	303854	EUR	
06/03/2025 00:00	135.543	141.709	132.149	133.469	389041	EUR	
07/03/2025 00:00	135.543	139.23	125.326	130.364	833428	EUR	
10/03/2025 00:00	126.539	129.085	115.667	116.424	264008	EUR	
11/03/2025 00:00	126.539	117.539	103.55	115.688	365079	EUR	
12/03/2025 00:00	126.539	120.42	111.326	116.276	284545	EUR	
13/03/2025 00:00	116.343	118.116	111.343	113.769	217064	EUR	
14/03/2025 00:00	113.67	124.995	113.374	124.676	228886	EUR	
17/03/2025 00:00	125.016	119.59	115.067	118.171	160803	EUR	
18/03/2025 00:00	125.016	117.342	111.705	114.313	180738	EUR	
19/03/2025 00:00	125.016	123.562	113.541	123.23	230878	EUR	
20/03/2025 00:00	124.085	124.621	116.739	117.194	147328	EUR	
